formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,vpa,gap pbe,a,b,c,alpha,beta,gamma,e_form oxygen
Ac2O3,Ac,Ac,cubic,-2.7319999999999998,0.848,0,20.836,0.332,4.705,4.705,4.705,90,90,90,3.15
AcAgO3,Ac,Ag,orthorhombic,-1.9569999999999999,-0.055,0,14.485,0.0,5.779,6.077,8.248,90,90,90,0.8170000000000001
AcAlO3,Ac,Al,cubic,-3.532,-0.11,0,11.487,4.3069999999999995,3.858,3.858,3.858,90,90,90,6.695
AcAsO3,Ac,As,orthorhombic,-2.398,0.22399999999999998,0,14.355,0.0,5.78,6.012,8.262,90,90,90,3.634
AcAuO3,Ac,Au,orthorhombic,-2.006,-0.055999999999999994,0,15.19,0.745,5.899,6.75,7.63,90,90,90,0.807
AcBO3,Ac,B,cubic,-2.316,0.7859999999999999,0,10.075,1.071,3.693,3.693,3.693,90,90,90,4.163
AcBaO3,Ac,Ba,orthorhombic,-2.741,0.221,0.2,20.944000000000003,0.0,6.315,6.356,10.436,90,90,90,-1.771
AcBeO3,Ac,Be,cubic,-2.715,0.262,0.183,10.639000000000001,0.0,3.761,3.761,3.761,90,90,90,-0.08
AcBiO3,Ac,Bi,orthorhombic,-2.5,0.027000000000000003,0,17.182000000000002,1.639,6.09,6.415,8.796,90,90,90,2.653
AcCaO3,Ac,Ca,orthorhombic,-2.964,0.11699999999999999,0.2,15.873,0.0,5.994,6.269,8.448,90,90,90,-1.025
AcCdO3,Ac,Cd,orthorhombic,-2.224,0.061,0,15.094000000000001,0.0,5.84,6.199,8.338,90,90,90,0.264
AcCeO3,Ac,Ce,cubic,-2.864,0.6859999999999999,0,19.227999999999998,1.439,4.581,4.581,4.581,90,90,90,4.197
AcCoO3,Ac,Co,rhombohedral,-2.426,-0.01,0.592,11.94,0.0,5.522,5.522,5.522,60.1,60.1,60.1,3.33
AcCrO3,Ac,Cr,orthorhombic,-3.138,-0.107,0.6,12.5,1.817,5.594,5.639,7.925,90,90,90,5.121
AcCsO3,Ac,Cs,tetragonal,-1.6019999999999999,0.752,0.004,19.919,0.0,4.179,4.179,5.702,90,90,90,-1.411
AcCuO3,Ac,Cu,orthorhombic,-2.241,-0.077,0,11.892000000000001,0.0,5.509,5.528,7.809,90,90,90,1.5959999999999999
AcDyO3,Ac,Dy,orthorhombic,-3.7119999999999997,0.002,0,15.895,4.542,5.989,6.176,8.595,90,90,90,5.48
AcErO3,Ac,Er,orthorhombic,-3.748,-0.01,0,15.547,4.544,5.96,6.123,8.521,90,90,90,5.682
AcEuO3,Ac,Eu,orthorhombic,-3.04,0.10800000000000001,0.2,16.695,0.0,6.033,6.3,8.784,90,90,90,-0.381
AcFeO3,Ac,Fe,orthorhombic,-2.7310000000000003,-0.11599999999999999,1,12.687000000000001,0.9059999999999999,5.63,5.655,7.97,90,90,90,4.135
AcGaO3,Ac,Ga,orthorhombic,-2.9139999999999997,-0.073,0,12.392999999999999,3.174,5.584,5.622,7.895,90,90,90,5.294
AcGdO3,Ac,Gd,orthorhombic,-3.67,0.016,0,16.276,4.335,6.029,6.225,8.673,90,90,90,5.268
AcGeO3,Ac,Ge,orthorhombic,-2.5469999999999997,0.09300000000000001,0,13.62,0.0,5.744,5.816,8.154,90,90,90,3.511
AcHfO3,Ac,Hf,orthorhombic,-3.4139999999999997,0.10400000000000001,0,14.273,0.0,5.773,5.94,8.324,90,90,90,5.504
AcHgO3,Ac,Hg,orthorhombic,-1.9509999999999998,0.021,0,15.992,0.0,5.817,6.68,8.231,90,90,90,0.336
AcHoO3,Ac,Ho,orthorhombic,-3.7310000000000003,-0.004,0,15.716,4.552,5.975,6.152,8.551,90,90,90,5.577000000000001
AcInO3,Ac,In,orthorhombic,-2.748,-0.036000000000000004,0,14.775,2.695,5.857,6.035,8.359,90,90,90,3.988
AcIrO3,Ac,Ir,orthorhombic,-2.194,0.075,0,13.405,0.754,5.616,5.907,8.082,90,90,90,1.2770000000000001
AcKO3,Ac,K,orthorhombic,-1.973,0.39399999999999996,0.4,19.767,0.0,6.346,6.434,9.682,90,90,90,-2.742
AcLaO3,Ac,La,cubic,-2.983,0.6629999999999999,0,18.986,1.423,4.562,4.562,4.562,90,90,90,4.187
AcLiO3,Ac,Li,cubic,-2.248,0.223,0.399,11.628,0.0,3.874,3.874,3.874,90,90,90,-0.33399999999999996
AcLuO3,Ac,Lu,orthorhombic,-3.793,-0.022000000000000002,0,15.05,4.709,5.905,6.047,8.429,90,90,90,5.945
AcMnO3,Ac,Mn,orthorhombic,-2.918,-0.12,0.8,12.612,0.0,5.612,5.655,7.948,90,90,90,4.093999999999999
AcMoO3,Ac,Mo,orthorhombic,-2.638,0.121,0.403,13.687000000000001,0.0,5.684,5.914,8.143,90,90,90,4.5489999999999995
AcNbO3,Ac,Nb,orthorhombic,-2.955,0.081,0.001,13.985,0.0,5.717,5.966,8.201,90,90,90,4.946000000000001
AcNdO3,Ac,Nd,cubic,-3.029,0.5710000000000001,0,18.259,1.828,4.503,4.503,4.503,90,90,90,4.678999999999999
AcNiO3,Ac,Ni,orthorhombic,-2.365,-0.077,0.2,11.833,0.0,5.505,5.522,7.786,90,90,90,1.575
AcNpO3,Ac,Np,cubic,-3.0180000000000002,0.512,0.794,18.186,0.0,4.497,4.497,4.497,90,90,90,4.396
AcOsO3,Ac,Os,orthorhombic,-2.146,0.16699999999999998,0.109,13.292,0.0,5.463,6.091,7.989,90,90,90,2.322
AcPaO3,Ac,Pa,cubic,-2.693,0.491,0.241,18.517,0.0,4.524,4.524,4.524,90,90,90,4.095
AcPbO3,Ac,Pb,orthorhombic,-2.369,0.038,0,16.738,0.0,6.034,6.377,8.701,90,90,90,1.255
AcPdO3,Ac,Pd,orthorhombic,-2.171,-0.122,0,13.677999999999999,0.0,5.715,5.924,8.081,90,90,90,1.499
AcPmO3,Ac,Pm,cubic,-3.111,0.518,0,17.814,2.0140000000000002,4.466,4.466,4.466,90,90,90,4.845
AcPrO3,Ac,Pr,cubic,-2.9530000000000003,0.625,0,18.704,1.649,4.539,4.539,4.539,90,90,90,4.449
AcPtO3,Ac,Pt,orthorhombic,-2.101,0.037000000000000005,0,14.009,0.0,5.811,6.177,7.805,90,90,90,1.204
AcPuO3,Ac,Pu,cubic,-3.005,0.602,0.942,17.512,0.0,4.441,4.441,4.441,90,90,90,3.324
AcRbO3,Ac,Rb,orthorhombic,-1.9140000000000001,0.444,0,20.923000000000002,0.599,5.98,6.089,11.491,90,90,90,-2.002
AcReO3,Ac,Re,orthorhombic,-2.286,0.273,0.215,13.360999999999999,0.0,5.556,5.978,8.046,90,90,90,2.924
AcRhO3,Ac,Rh,orthorhombic,-2.334,-0.077,0,13.23,0.604,5.635,5.837,8.046,90,90,90,1.899
AcRuO3,Ac,Ru,orthorhombic,-2.345,0.015,0.197,13.161,0.0,5.619,5.835,8.029,90,90,90,2.787
AcSbO3,Ac,Sb,orthorhombic,-2.465,0.114,0,16.31,0.29600000000000004,5.98,6.327,8.621,90,90,90,2.835
AcScO3,Ac,Sc,orthorhombic,-3.762,-0.068,0,13.854000000000001,4.099,5.782,5.844,8.201,90,90,90,6.193
AcSiO3,Ac,Si,tetragonal,-2.778,0.395,0,12.758,0.0,3.79,3.79,4.442,90,90,90,4.34
AcSmO3,Ac,Sm,orthorhombic,-3.608,0.033,0,16.756,4.287,6.08,6.293,8.759,90,90,90,4.949
AcSnO3,Ac,Sn,orthorhombic,-2.582,0.10099999999999999,0,15.772,0.0,5.942,6.208,8.551,90,90,90,3.025
AcSrO3,Ac,Sr,cubic,-2.247,0.78,-0.006,17.587,0.0,4.447,4.447,4.447,90,90,90,-1.505
AcTaO3,Ac,Ta,orthorhombic,-2.945,0.159,0,13.765,0.0,5.615,5.983,8.195,90,90,90,4.843999999999999
AcTbO3,Ac,Tb,orthorhombic,-3.5610000000000004,0.009000000000000001,0,16.078,4.382,6.009,6.201,8.63,90,90,90,5.379
AcTcO3,Ac,Tc,orthorhombic,-2.487,0.069,0.397,13.357999999999999,0.0,5.652,5.84,8.095,90,90,90,3.73
AcTeO3,Ac,Te,cubic,-1.817,0.5579999999999999,0.001,16.423,0.0,4.346,4.346,4.346,90,90,90,2.116
AcThO3,Ac,Th,cubic,-3.113,0.622,0.002,19.465999999999998,0.0,4.6,4.6,4.6,90,90,90,3.7239999999999998
AcTiO3,Ac,Ti,orthorhombic,-3.443,-0.092,0.003,12.8,0.0,5.647,5.662,8.007,90,90,90,5.944
AcTlO3,Ac,Tl,orthorhombic,-2.27,-0.012,0,15.972999999999999,1.041,5.937,6.296,8.547,90,90,90,1.876
AcTmO3,Ac,Tm,orthorhombic,-3.772,-0.016,0,15.360999999999999,4.565,5.94,6.089,8.494,90,90,90,5.792999999999999
AcUO3,Ac,U,cubic,-2.8739999999999997,0.635,0.525,17.809,0.0,4.466,4.466,4.466,90,90,90,2.892
AcVO3,Ac,V,orthorhombic,-3.221,-0.11599999999999999,0.4,12.873,1.21,5.664,5.684,7.997,90,90,90,4.968
AcWO3,Ac,W,orthorhombic,-2.501,0.268,0.003,13.405,0.0,5.669,5.86,8.07,90,90,90,3.492
AcYO3,Ac,Y,orthorhombic,-3.693,0.001,0,15.939,4.6080000000000005,5.993,6.183,8.603,90,90,90,5.419
